Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	256	256
OG0000001	160	160
OG0000002	128	128
OG0000003	119	119
OG0000004	101	101
OG0000005	100	100
OG0000006	92	92
OG0000007	84	84
OG0000008	82	82
OG0000009	79	79
OG0000010	78	78
OG0000011	75	75
OG0000012	66	66
OG0000013	66	66
OG0000014	63	63
OG0000015	64	64
OG0000016	63	63
OG0000017	61	61
OG0000018	61	61
OG0000019	59	59
OG0000020	58	58
OG0000021	58	58
OG0000022	58	58
OG0000023	56	56
OG0000024	54	54
OG0000025	50	50
OG0000026	47	47
OG0000027	44	44
OG0000028	44	44
OG0000029	44	44
OG0000030	42	42
OG0000031	41	41
OG0000032	42	42
OG0000033	40	40
OG0000034	40	40
OG0000035	39	39
OG0000036	38	38
OG0000037	37	37
OG0000038	35	35
OG0000039	36	36
OG0000040	35	35
OG0000041	35	35
OG0000042	34	34
OG0000043	34	34
OG0000044	34	34
OG0000045	33	33
OG0000046	33	33
OG0000047	33	33
OG0000048	33	33
OG0000049	32	32
OG0000050	32	32
OG0000051	32	32
OG0000052	28	28
OG0000053	31	31
OG0000054	31	31
OG0000055	29	29
OG0000056	30	30
OG0000057	30	30
OG0000058	30	30
OG0000059	29	29
OG0000060	27	27
OG0000061	28	28
OG0000062	28	28
OG0000063	27	27
OG0000064	27	27
OG0000065	26	26
OG0000066	25	25
OG0000067	26	26
OG0000068	24	24
OG0000069	25	25
OG0000070	22	22
OG0000071	23	23
OG0000072	24	24
OG0000073	24	24
OG0000074	24	24
OG0000075	24	24
OG0000076	24	24
OG0000077	23	23
OG0000078	23	23
OG0000079	23	23
OG0000080	22	22
OG0000081	22	22
OG0000082	22	22
OG0000083	22	22
OG0000084	22	22
OG0000085	22	22
OG0000086	22	22
OG0000087	21	21
OG0000088	21	21
OG0000089	21	21
OG0000090	21	21
OG0000091	21	21
OG0000092	21	21
OG0000093	19	19
OG0000094	20	20
OG0000095	20	20
OG0000096	20	20
OG0000097	19	19
OG0000098	19	19
OG0000099	19	19
OG0000100	18	18
OG0000101	18	18
OG0000102	18	18
OG0000103	18	18
OG0000104	18	18
OG0000105	18	18
OG0000106	17	17
OG0000107	17	17
OG0000108	17	17
OG0000109	17	17
OG0000110	16	16
OG0000111	16	16
OG0000112	16	16
OG0000113	16	16
OG0000114	16	16
OG0000115	16	16
OG0000116	16	16
OG0000117	16	16
OG0000118	16	16
OG0000119	14	14
OG0000120	15	15
OG0000121	14	14
OG0000122	15	15
OG0000123	15	15
OG0000124	14	14
OG0000125	15	15
OG0000126	15	15
OG0000127	15	15
OG0000128	15	15
OG0000129	15	15
OG0000130	15	15
OG0000131	15	15
OG0000132	13	13
OG0000133	13	13
OG0000134	14	14
OG0000135	12	12
OG0000136	14	14
OG0000137	14	14
OG0000138	14	14
OG0000139	14	14
OG0000140	14	14
OG0000141	14	14
OG0000142	13	13
OG0000143	13	13
OG0000144	13	13
OG0000145	13	13
OG0000146	12	12
OG0000147	13	13
OG0000148	13	13
OG0000149	13	13
OG0000150	9	9
OG0000151	9	9
OG0000152	11	11
OG0000153	11	11
OG0000154	12	12
OG0000155	12	12
OG0000156	11	11
OG0000157	12	12
OG0000158	9	9
OG0000159	10	10
OG0000160	12	12
OG0000161	11	11
OG0000162	12	12
OG0000163	12	12
OG0000164	12	12
OG0000165	12	12
OG0000166	12	12
OG0000167	12	12
OG0000168	11	11
OG0000169	11	11
OG0000170	10	10
OG0000171	10	10
OG0000172	11	11
OG0000173	11	11
OG0000174	8	8
OG0000175	9	9
OG0000176	9	9
OG0000177	10	10
OG0000178	10	10
OG0000179	11	11
OG0000180	11	11
OG0000181	11	11
OG0000182	11	11
OG0000183	11	11
OG0000184	11	11
OG0000185	11	11
OG0000186	9	9
OG0000187	10	10
OG0000188	10	10
OG0000189	8	8
OG0000190	10	10
OG0000191	9	9
OG0000192	9	9
OG0000193	10	10
OG0000194	10	10
OG0000195	10	10
OG0000196	10	10
OG0000197	10	10
OG0000198	10	10
OG0000199	10	10
OG0000200	9	9
OG0000201	9	9
OG0000202	9	9
OG0000203	8	8
OG0000204	7	7
OG0000205	8	8
OG0000206	8	8
OG0000207	7	7
OG0000208	8	8
OG0000209	9	9
OG0000210	8	8
OG0000211	7	7
OG0000212	8	8
OG0000213	8	8
OG0000214	9	9
OG0000215	9	9
OG0000216	9	9
OG0000217	9	9
OG0000218	9	9
OG0000219	9	9
OG0000220	9	9
OG0000221	9	9
OG0000222	9	9
OG0000223	9	9
OG0000224	7	7
OG0000225	5	5
OG0000226	7	7
OG0000227	8	8
OG0000228	5	5
OG0000229	7	7
OG0000230	6	6
OG0000231	6	6
OG0000232	7	7
OG0000233	8	8
OG0000234	8	8
OG0000235	8	8
OG0000236	8	8
OG0000237	7	7
OG0000238	7	7
OG0000239	8	8
OG0000240	8	8
OG0000241	5	5
OG0000242	7	7
OG0000243	8	8
OG0000244	7	7
OG0000245	5	5
OG0000246	4	4
OG0000247	4	4
OG0000248	7	7
OG0000249	7	7
OG0000250	7	7
OG0000251	8	8
OG0000252	8	8
OG0000253	8	8
OG0000254	8	8
OG0000255	8	8
OG0000256	8	8
OG0000257	8	8
OG0000258	8	8
OG0000259	8	8
OG0000260	8	8
OG0000261	8	8
OG0000262	6	6
OG0000263	6	6
OG0000264	6	6
OG0000265	5	5
OG0000266	7	7
OG0000267	3	3
OG0000268	6	6
OG0000269	7	7
OG0000270	6	6
OG0000271	7	7
OG0000272	5	5
OG0000273	4	4
OG0000274	6	6
OG0000275	7	7
OG0000276	7	7
OG0000277	3	3
OG0000278	6	6
OG0000279	6	6
OG0000280	5	5
OG0000281	7	7
OG0000282	7	7
OG0000283	6	6
OG0000284	5	5
OG0000285	6	6
OG0000286	6	6
OG0000287	3	3
OG0000288	6	6
OG0000289	6	6
OG0000290	6	6
OG0000291	6	6
OG0000292	7	7
OG0000293	7	7
OG0000294	7	7
OG0000295	7	7
OG0000296	7	7
OG0000297	7	7
OG0000298	7	7
OG0000299	7	7
OG0000300	7	7
OG0000301	7	7
OG0000302	7	7
OG0000303	7	7
OG0000304	7	7
OG0000305	7	7
OG0000306	7	7
OG0000307	7	7
OG0000308	7	7
OG0000309	7	7
OG0000310	7	7
OG0000311	7	7
OG0000312	5	5
OG0000313	3	3
OG0000314	6	6
OG0000315	5	5
OG0000316	5	5
OG0000317	5	5
OG0000318	4	4
OG0000319	3	3
OG0000320	3	3
OG0000321	5	5
OG0000322	3	3
OG0000323	3	3
OG0000324	3	3
OG0000325	5	5
OG0000326	3	3
OG0000327	6	6
OG0000328	5	5
OG0000329	6	6
OG0000330	5	5
OG0000331	3	3
OG0000332	6	6
OG0000333	5	5
OG0000334	4	4
OG0000335	6	6
OG0000336	6	6
OG0000337	5	5
OG0000338	5	5
OG0000339	6	6
OG0000340	4	4
OG0000341	5	5
OG0000342	6	6
OG0000343	6	6
OG0000344	5	5
OG0000345	5	5
OG0000346	5	5
OG0000347	4	4
OG0000348	5	5
OG0000349	4	4
OG0000350	3	3
OG0000351	4	4
OG0000352	5	5
OG0000353	3	3
OG0000354	5	5
OG0000355	5	5
OG0000356	5	5
OG0000357	5	5
OG0000358	5	5
OG0000359	3	3
OG0000360	3	3
OG0000361	5	5
OG0000362	5	5
OG0000363	5	5
OG0000364	6	6
OG0000365	6	6
OG0000366	6	6
OG0000367	6	6
OG0000368	6	6
OG0000369	6	6
OG0000370	6	6
OG0000371	6	6
OG0000372	6	6
OG0000373	6	6
OG0000374	6	6
OG0000375	6	6
OG0000376	6	6
OG0000377	6	6
OG0000378	6	6
OG0000379	6	6
OG0000380	6	6
OG0000381	6	6
OG0000382	6	6
OG0000383	6	6
OG0000384	6	6
OG0000385	6	6
OG0000386	6	6
OG0000387	6	6
OG0000388	6	6
OG0000389	6	6
OG0000390	6	6
OG0000391	6	6
OG0000392	6	6
OG0000393	4	4
OG0000394	3	3
OG0000395	5	5
OG0000396	5	5
OG0000397	5	5
OG0000398	3	3
OG0000399	2	2
OG0000400	5	5
OG0000401	4	4
OG0000402	4	4
OG0000403	5	5
OG0000404	3	3
OG0000405	5	5
OG0000406	5	5
OG0000407	4	4
OG0000408	4	4
OG0000409	4	4
OG0000410	5	5
OG0000411	2	2
OG0000412	2	2
