Entrez_ID	UniProt_ID
3265	P01112
3265	X5D945
255928	Q8NB59
255928	A0A1B0GTZ1
255928	A0A8V8TN09
255928	A1L3Y1
57545	Q9P2K1
2760	P17900
2147	P00734
392636	Q6ZNB7
392636	X5D773
3055	P08631
3055	A8K4G3
2562	P28472
2562	B2RCW8
2562	X5DQY4
81555	Q969M3
9542	O14511
9542	F5GZS7
3646	P60228
283987	Q8IV36
84081	Q9H0G5
84081	A0A024QZ33
84081	B7ZL27
3800	O60282
3800	Q59GB8
5138	O00408
5138	Q8IW54
4983	O60890
4983	A0A7P0Z4E9
80746	Q8NCE0
80746	A0A7P0T914
80746	C9J7Z4
8449	O60231
8449	A0A1U9X7L7
8449	B4DZ28
8449	Q5SQH4
8260	P41227
8260	B7Z9N2
3661	Q14653
3661	E2GIM5
3661	E2GIM6
3661	E2GIM7
3661	E2GIM8
3661	E2GIM9
3661	M0QYT9
340665	Q6V0L0
4948	Q04671
6331	Q14524
6331	E9PG18
6331	E9PHB6
6331	H9KVD2
6331	K4DIA1
6331	Q86V90
23270	Q9UJ04
9439	Q9ULK4
9439	Q05DL5
6872	P21675
8803	Q9P2R7
8803	E5KS60
8803	Q9Y4T0
29926	Q96IJ6
29926	A0A384MDS7
6341	O75880
35	P16219
35	B4DUH1
35	E5KSD5
35	E9PE82
7283	P23258
85476	Q96RP9
85476	C9IZ01
85476	E5KND5
51657	Q9Y6J8
51657	Q7Z3H6
284403	O43379
26523	Q9UL18
26523	A0A6I8PTZ8
26523	B2RAD8
26523	B3KME0
26523	Q5TA58
26278	Q9NZJ4
26278	A0A804HIQ1
60675	Q9HC23
60684	Q7Z392
5009	P00480
90	Q04771
90	D3DPA4
3738	P22001
2316	P21333
2316	Q60FE5
2316	Q6NXF2
2332	Q06787
400569	Q9P086
400569	I3L3E8
55644	Q9NPF4
9895	O15040
5190	Q13608
103	P55265
6772	P42224
5195	O75381
112939	Q96RE7
6908	P20226
6908	Q32MN7
53944	Q9HCP0
53944	Q8IXA3
53944	U3KQB3
3782	Q9UGI6
3782	A0A087WYJ0
8869	Q9UNP4
5189	O43933
5189	A0A0C4DG33
5189	B4DER6
54805	Q9H8M5
11141	Q9NZN1
11141	X5DNQ7
79147	Q9H9S5
4338	O96007
4338	O96033
58497	Q86TP1
7569	P17025
9968	Q93074
9698	Q14671
10479	Q92581
10479	A0A1B0GV11
3704	Q9BY32
3704	A0A0S2Z3W7
3704	A0A0S2Z423
3704	Q8WWI0
118788	Q6ZUJ8
118788	Q86YV3
8893	Q13144
23126	Q7Z3K3
1725	P49366
2892	P42263
2892	Q17R51
2892	Q5XKG2
1822	P54259
1822	Q86V38
1284	P08572
387103	Q5EE01
387103	A0A0A0MRK5
4728	O00217
23396	O60331
55621	Q9NXH9
51083	P22466
10154	O60486
2009	O00423
3631	Q96PE3
5727	Q13635
4010	O60663
4010	B7ZLH2
4010	Q6ISE0
10715	P27544
10715	B4DE47
10715	Q5XG75
4734	P46934
7403	O15550
7403	A0A087X0R0
7403	A0A804HJA2
7403	B4E0L8
7403	B7ZKN1
7403	B7ZKN5
7403	B7ZKN6
7403	E1U0S6
7403	F5H5V6
7403	F5H6S1
7403	F8W8R6
7403	Q59HG3
7403	Q86TD1
79868	Q9NP73
79868	A0A087WT15
79868	A0A087WX43
90952	Q96AP7
3569	P05231
3569	B4DNQ5
3569	B4DVM1
3569	B5MC21
3569	Q75MH2
127602	Q0VDD8
25926	Q9H8H0
2555	P47869
2555	E9PBQ7
80781	P39060
10060	O60706
112755	P61266
284111	Q86YT5
284111	Q68D44
8642	Q96JQ0
5455	P20264
1807	Q14117
1063	P49454
1063	A0A9L9PXU7
1974	Q14240
1951	Q9NYQ7
116150	Q96E22
8604	O75746
1193	O15247
55904	Q8IZD2
79648	Q8NEM0
1062	Q02224
1183	P51793
6326	Q99250
146713	A6NFN3
118924	Q70Z53
1786	P26358
1786	I6L9H2
1786	Q59FP7
2557	P48169
2557	X5D7F5
6804	Q16623
6804	Q75ME0
29881	Q9UHC9
29881	A0A0C4DFX6
178	P35573
178	A0A0S2A4E4
4540	P03915
4540	U5ZC31
10682	Q15125
10682	A0A024QYX0
8905	P56377
8905	A0A5F9ZHW1
8905	Q549M9
9442	Q6P2C8
6497	P12755
8573	O14936
8573	A0A7I2RJN6
132158	Q8IVS8
55362	Q5T3F8
124925	Q53EL9
2312	P20930
30000	O14787
30000	Q05D48
30000	Q4LE60
6329	P35499
171023	Q8IXJ9
171023	Q498B9
2710	P32189
2710	A0A8I5KXY7
2710	B4DH54
23065	Q8N766
9526	O75352
9526	A0A0S2Z4W8
9526	B4DLH7
9526	J3QW43
6046	P25440
6046	A0A1U9X7A8
6046	X5CF57
54681	Q9NXG6
158866	Q96MV8
158866	B3KY34
6535	P48029
6535	Q59EV7
6535	X5D9C4
2132	Q93063
84162	Q2LD37
84162	A0A7P0T938
116442	Q96DA2
8925	Q15751
6487	Q11203
79848	Q1MSJ5
79848	Q9H688
2639	Q92947
23380	O75044
23380	A0A075B7B5
23380	B4DFE5
23380	B7Z3G4
23380	B7ZM87
351	P05067
351	A0A0A0MRG2
351	A0A140VJC8
351	B4DGD0
351	B4DJT9
351	E9PG40
3188	P55795
3188	A0A384MDT2
5428	P54098
5428	E5KNU5
4624	P13533
57465	Q9ULP9
80222	Q9BW92
80222	U3KQG0
81689	Q9BUE6
199857	Q96F25
5621	F7VJQ1
5621	P04156
5621	Q53YK7
79784	Q7Z406
79784	A1L2Z2
79784	B3KWH4
471	P31939
471	V9HWH7
4905	P46459
4905	A0A384MTI6
27327	Q8NDV7
9512	O75439
9512	A0A9L9PXH0
9512	A0A9L9PXI7
9512	B3KM34
9512	Q96CP5
80155	Q9BXJ9
80155	B2RBE5
3032	P55084
3032	F5GZQ3
6508	P48751
51633	Q8N6M0
51633	A0A087X0W9
549	Q13825
549	B4DYI6
55129	Q9NW15
396	P52565
396	J3QQX2
396	V9HWE8
51645	Q9Y3C6
27133	Q8NCM2
3295	P51659
3295	A0A0S2Z4J1
3295	B2R659
3295	B3KSP2
283989	Q7Z6J9
26999	Q96F07
26999	B7Z8N7
26999	E7EVJ5
8818	O94777
9211	O95970
9211	A0A0S2Z4S7
9211	A0A0S2Z4X3
9211	A0A0S2Z5G1
9211	A0A1B0GUD3
5191	O00628
5191	Q6FGN1
55835	Q9HC77
55835	A8K8P1
55835	F6VUX8
7701	P52746
7701	A0A7P0N7C4
56884	Q8N475
6711	Q01082
6711	B2ZZ89
25939	Q9Y3Z3
25939	Q59H15
4841	Q15233
4841	A0A0S2Z4Z9
1123	P15882
22871	Q8N2Q7
2627	Q92908
2263	P21802
2263	A0A141AXF1
2263	D2CGD1
2263	S4R381
3052	P53701
1457	P68400
11041	O43505
1107	Q12873
1107	A0A8V8TR54
1107	B3KWV4
1107	Q2TAZ1
26047	Q9UHC6
26047	A0A090N7T7
26047	B2RCH4
9326	Q15649
10695	Q9BT09
8289	O14497
1105	O14646
1105	B3KT33
54664	Q9NUM4
5053	P00439
64170	Q9H257
2896	P28799
7337	Q05086
7337	Q9H2G0
84876	Q96D31
55869	Q9BY41
1200	O14773
8560	O15121
10524	Q92993
3073	P06865
3073	A0A0S2Z3W3
3073	B4DVA7
3073	H3BP20
55689	Q9ULM3
8831	Q96PV0
8831	A0A1U9X8L0
8831	B7ZCA0
5860	P09417
5860	A0A140VKA9
8888	O60318
4300	P42568
4300	A0A0S2Z448
9711	Q92622
9711	A0A9L9PY84
9711	Q8N4U6
84726	Q5JSZ5
84726	Q9BU62
3899	P51826
3899	Q8NAP7
51256	Q9P0N9
51256	Q5JPB9
51256	U3KPY5
3980	P49916
7074	Q13009
7074	A0A2X0TW27
7074	A0A8V8TN84
375449	O15021
375449	B4DKT8
375449	B4DS23
375449	B4DSE5
375449	E7EX28
375449	Q6T2V4
5991	P48380
1292	P12110
1292	A0A384MDP3
3021	P84243
3021	B2R4P9
2736	P10070
2736	Q1PSW9
2736	Q59FV5
1917	Q05639
23556	O95427
23556	A0A1W2PQA9
127343	Q8NFW5
23102	Q9UPU7
23102	B2RTQ2
4094	O75444
4094	H3BP11
23209	Q15049
777	Q15878
777	Q59FG1
80036	Q9HCF6
80036	A2A3F4
80036	E9PBI7
80036	G5E9G1
80036	H7BYP1
80036	Q6NW43
80036	Q9H200
148789	Q8NCR0
2890	P42261
2890	Q59GL5
5058	Q13153
130013	Q8TDX5
130013	A0A0S2Z681
130013	Q6ZV40
10522	O75398
9757	Q9UMN6
57187	Q8NI27
22983	Q9Y2H9
8659	P30038
8659	A0A024RAC7
25930	Q9H3S7
25930	B4DST5
5099	O60245
5099	A0A8Q3SI70
5099	A0A8V8TM73
79876	Q9GZZ9
7881	Q14722
7881	B7Z435
7881	B7Z8E5
7881	F8W6W4
7881	Q5MJQ3
91801	Q96BT7
889	O00522
889	A4D1F7
5660	P07602
2720	P16278
2720	B7Z6Q5
6496	O95343
5091	P11498
51227	P57054
8398	O60733
5518	P30153
5518	A8K7B7
55753	Q9ULD0
84678	Q8NHM5
84678	B4DSN4
57674	Q63HN8
57674	A0A0A0MTR7
57731	Q9H254
3340	P52848
3340	A8K8T3
246176	Q8NHY3
22895	Q9Y2J0
3908	P24043
3908	Q59H37
55624	Q8WZA1
55624	A0A8I5KNB7
55624	B7Z7F2
55624	B7Z7Q4
3785	O43526
3785	Q53Y30
1718	Q15392
23001	Q8IZQ1
473	Q9P2R6
2674	P56159
2674	B7Z856
23732	Q9P0K9
2731	P23378
1201	Q13286
1201	B4DFF3
1201	B4DMY6
1201	Q2TA70
1968	P41091
2186	Q12830
2186	J3QQK4
56479	Q9NR82
55187	Q5THJ4
2253	P55075
2253	A0A087X1S5
2253	A1A515
1130	Q99698
10102	P43897
10102	E5KS95
2903	Q12879
2903	A0A890YTL4
2903	Q547U9
2903	Q59EW6
140679	Q9H598
91869	Q96AA3
7852	P61073
7852	A0A0U3FJG0
7852	A0A0U3GXA9
7852	A0A8Q3WLL1
57017	O75208
7781	Q99726
7781	B4DXX8
8239	Q93008
8239	A0A994J4R6
8239	A0A994J6S4
8239	Q6P468
8239	Q86X58
