Orthogroup	Human.UniProt.renamed	Zebrafish.UniProt.renamed
OG0000001	Q8N8Y5, Q9BWE0	A0A8M9PE23, A5PMB3, A0A8M9PS52, A0A8M6Z426, A0A8M9PE76, A0A8M9PDV0, A0A8M9P890, A0A8M9PKD5, A0A8M2B8F9, F1Q5S4, A0A8M9PP06, A8E5B1, B8JM00, A0A8M2BHQ4, A0A8M9P4B8, A8E518, E7F8E6, A0A8M2BHP6, A0A8M1QL07, A0A8M2B8D7, A0A8M6Z3E5, A0A8M9PE04, A0A8M2B8G5, A0A8M9PVA5, A7YYC8, A0A8M1N456, A0A8M9PVF6, A0A8M9P4W0, A0A8M3AXE7, A4FVL9, A0A8M9PE09, A0A8M9PRY4, A0A8M2BI54, A0A8M1RMZ5, A0A8M3ALZ3, A0A8M2B8I7, A0A8M3ALZ9, A0A8M9PRX3, A0A8M9PV55, A0A8M9P4D0, A0A8M9PVE7, A0A8M9PJP4, A0A8M6YUX9, A0A8M9PW45, X1WDD7, A0A8M9PJS0, A0A8M2BHN9, A0A8M3AMP5, A0A8M6Z490, A0A0R4IM72, A0A8M2BHQ1, A0A8M9PE81, A0A8M2BHR0, A0A8M2BI49, A0A8M2BHN5, A0A8M3AMR5, A0A8M3AMP1, A0A8M3AXC1, A0A8M6Z3I1, A0A8M3AUD3, A0A8M9PE19, A0A8M6Z3I5, Q1LW50, A0A8M6YXF3, A0A8M9PEQ5, A0A8M3B570, A0A8M9P4V6, A0A8M6Z493, A0A8M2BHP9, A0A8M9PE28, A0A8M6YVL0, A0A8M2BHR7, A0A8M9P4D7, A0A8M2B8K9, A0A0R4IKB5, A0A8M9PVH6, A0A8M9PKD9, A0A8M3AM14, A0A8M9PW50, A0A8M3AUE7, A0A8M2BI59, A0A8M2BHQ7, A0A8M2BHP7, A0A8M3B590, A0A8M3AUD6, A0A8M1RFS5, A7MC87, A0A8M9PRZ7, A0A8M6Z485, A0A8M3B593, A0A8M6Z2H8, A0A8M9PVH0, A0A8M9PSP4, A0A8M1RJG8, A0A8M9PVG6, A0A8M9PJR6, A8DZC6, A0A8M2BHQ9, A0A8M6YVK8, A0A8M9PRZ3, A0A8M6YV33, A0A8M9P4D6, A0A8M6YVM0, A0A0R4ICM8, A0A8M3AM19, A0A8M6YV29, A0A8M9PSP9, Q5EAQ0, A0A8M2BHQ2, A0A8M1RI04, A0A8M3AM09, A9JRP4, Q58ER6, A0A8M3AM57, Q32PP4, A0A8M2BLA9, A9JRB0, A0A8M3AUK6, A0A8M6Z3H8, A0A8M9PV61, A0A8M2BLB1, A0A8M9PS36, A0A8M2B8K0, F1QII2, A0A8M6Z5J9, A0A0G2KE12, A0A0G2KH00, A0A0G2KSD8, Q5BLB9, A0A8M1QUS0, A0A8M3AL62, A4VCH2, A0A8M6YWW6, B3DG10, A0A8M1QLN4, Q5EAQ6, A0A8M2B7W3, Q567X4, Q58EF6, A0A8M9PIJ8, A0A0G2L2X0, A0A8N7UQR0, A0A8M1Q1J8, A0A8M9PIJ4, A7MBN8, A3KP61, A0A8M2B7W7, A0A8M2B7V8, A0A8M9QBY4, A0A8M9QMK6, E7F7V9, A0A8M9PXU7, A0A8M9P7M9, A8KB54, A0A8M3ALV3, A0A8M6YV89, E7F7C6, A0A0R4IFM9, E7EZP5, A0A8M6YWZ1
OG0000002	P17041	A0A8M2B8I0, A0A8M2B8C9, A0A8M3B583, A0A0R4IIT7, A0A8M2B8K2, A0A8M9PA83, A0A0G2L6Z5, A0A8M6YZC7, A0A8M6Z578, A8E5D2, A0A8M9PNH3, A0A8M3AXM5, A0A8M6YWQ4, A0A8M6YXE1, A0A8M9PNH9, A7MCG4, A0A8M9PZT6, A0A8M9PLJ1, A0A8M2B5W2, A0A8M9PZT1, Q5BLG9, A8E506, A0A8M9PTT9, A8KBK0, A0A8M9PRG0, A0A8M9Q018, A0A8M9PU09, A0A8M6YY38, A0A8M9PGW4, B1WB80, A0A8M9PXX4, A0A8M9PTU3, A0A8M9P8J5, A0A8M9Q1M8, A0A8M9PI92, A0A8M9QC89, A0A8M2B449, A0A8M9PGW1, A7MCB3, A0A8M9QC11, A0A8M9PHN8, A0A8M9PI20, A0A8M9Q6J7, A0A8M9PIA3, F1R3N6, A0A8M9PZD7, A8WGK9, A0A8M9Q1S0, A0A8M9QCX6, A0A8M6Z6I0, A8WGK4, A0A8M6YYY3, A0A8M9PWI5, A0A8M9Q255, A0A8M6Z4R4, A0A8M6YYK5, A0A8M9Q7I4, A0A8M9Q1G5, A0A8M6YYS8, A0A8M9Q664, A0A8M9PJS9, A0A0G2KLM8, A0A8M9Q6K4, A0A8M9Q2F1, A0A8M9Q7E9, A0A8M9Q1T5, A0A8M9PVT6, A0A8M9Q1X8, A0A8M9Q039, A0A8M9Q291, E7F6B3, B0JZK2, A0A8M9QBJ8, A0A8M9Q828, A0A8M9QCZ3, A0A8M6Z4U7, A0A8M6YYQ1, A0A8M9Q640, A0A286YB60, A0A8M9PIP6, H0WE42, A0A8M6Z5G2, A0A8M9PW70, A0A8M6Z5X4, A0A8M9QB85, A0A8M1QVG4, A0A8M6YYG0, A0A8M9PIL8, A0A8M6YYP7, A0A8M6Z062, A0A8M9PVZ0, A0A8M9QBK4, B0JZJ0, A0A8M9PVE0, A0A0R4IFY6, A0A8M9Q7C6, A0A8M6Z671, K7DY82, A0A8M9Q1A4, A0A8M9PI48, A0A8M9Q192, A7YYB7, A0A8M9QCG2, A0A8M9Q280, A0A8M9PW38, H0WE47, A0A8M6Z080, A0A8M9PUX2, A0A8M6Z073, A0A8M6Z043, A9JRR4, A0A8M9Q0U4, A0A8M6Z059, A0A8M6YXH4, A0A0G2L199, A0A8M1PU54, F1QJG9, A0A0G2KZN8, A0A8M1QKP2, A0A8M3AGZ9, X1WDJ1, A0A8M2BIG9, F1R7V0, Q5J2I5, Q5BJ00, A0A8M3B7J0, A0A0G2KI00, A0A2R8QGS5, B0VJZ9
OG0000004	Q8N3J9, Q6ZT77, Q49A33, Q7Z3I7, P17026	A0A8M9QD26, A0A8M9Q1U3, A0A8M9QCD6, A0A8M6Z051, A0A8M9Q7G5, A0A8M9PVW8, A0A8M6Z5T5, A0A8M9Q0W9, A0A8M9QD04, A0A8M9PIN6, A0A8M9QCB6, A0A8M9Q6V3, A0A8M9PIX6, A0A8M9PWE4, A0A8M6YYA9, A0A8M6Z039, A0A8M9QCV5, A0A8M9QCY4, A0A8M9QC86, A0A8M9Q7D1, A0A8M9Q7E5, A0A8M9Q6Z1, A0A8M9Q7C7, A0A8M9PIS4, A0A8M9PIV5, A0A8M9PNL1, A0A8M9PVF9, A0A8M9PVE5, A0A8M9Q1L5, A0A8M9PIX2, A0A8M9Q1F4, A0A8M9PUU1, A0A8M6Z5Z1, A0A8M9PNX1, A0A8M9Q767, A0A8M9PNC6, A0A8M9Q1P2, A0A8M9QB88, A0A8M9QC16, A0A8M9Q6L5, A0A8M9QCX9, A0A8M9PIR6, A0A8M9QCL2, A0A8M9PVQ8, A0A8M9PVK5, A0A8M9Q1L1, A0A8M9Q1S4, A0A8M3ARU5, A0A8M9QC22, A0A8M9Q1W9, A0A8M9PI96, A0A8M9PWH7, A0A8M9Q238, A0A8M9PIZ7, A0A8M9PNK1, A0A8M9PVD0, A0A8M9PWG3, A0A8M9PVB5, A0A8M6Z695, A0A8M9Q260, A0A8M9PIK6, A0A8M9Q6Y3, A0A8M6YXR1, A0A8M9QCX2, A0A8M9Q6Q7, A0A8M9Q6K6, A0A8M9PI30, A0A8M9PW58, A0A8M9QCZ6, A0A8M3AZ18, A0A8M9QBN5, A0A8M9PWA4, A0A8M9PIE2, A0A8M9Q6I4, A0A8M9Q6D9, A0A8M9PWD0, A0A8M9PNS7, I3ISW0, A0A8M9PS19, F1QLN7, A0A8M6YZP9, A0A8M9PWK9, A0A8M9PGP4, A0A8M6YV39, A0A8M1PS56, A0A8M2BBI2, A0A8M9QAM1, A0A8M3B8L6, A0A8M6YWV8, A0A8M3AZZ6, A0A8M6Z565, A0A8M6YTE4, A0A8M9Q5L8, A0A8M9PTV5, A0A0R4IS41, A0A8M9PLJ6, A0A0R4IX00, B8A688
OG0000012	Q6ZU45	A3QJU1, A5WUG5, A0A8M9Q143, A5WUH2, A0A8M1RF17, F6NS67, A0A8M6Z781, A0A8M9Q208, A5WUJ2, A0A8M6Z1F0, A3QJU0, A0A8M9QHC1, A0A8M9PP80, A0A8M1N7H3, Q5RFX3, A0A8M1P3G7, A0A8M6YZA0, F6PE05, A5WUG7, A4FVG7, A0A8M1N7C8, A0A8M9QCB2, E7F3U7, A0A8M6Z756, Q1L8A7, E9QE43, A0A8M9Q857, A0A8M9PPA0, A0A140LFQ6, E9QE57, A0A8M6Z1Z1, E9QJ87, F1QC82, A0A8M9QCC2, A8HAJ4, A0A8M9QGK7, A0A8M1NE49, A0A8M6Z1M0, A0A8M6Z0C6, E9QEL4, A0A8M3BAR6, A0A8M9Q9A5, A0A8M9Q862, A0A8M9PMY8, F6NUW0, A0A8M9Q1F6, A0A8M9QC77, A0A8M9Q648, B3DHH3, A0A8M9Q1X4, A0A8M1RS52, A0A8M2BE28, A0A8M9Q294, A0A8M3AJD0, A0A8M1RJF5, A0A8M1PUI7, A0A8M9PDA6, A0A8M3B0I5, A0A0G2KJW0, A0A8M6Z1C8, A0A8M9PLF6, A0A8M9Q356, A0A8M9NYS8, A0A8M9QI91, A0A8M9QIB4, A0A1L1QZJ4, A0A8M9Q9C7
OG0000014	Q7Z2Y8	A0A8M1QV59, A0A8M3B823, F1Q8X3, A0A8M2BH17, A0A8M6YWX7, F1RBS9, A0A8M1PSH1, X1WE97, A0A8M9PZX5, A0A8M2BBM2, A0A8M9Q5N6, A0A8M6Z5N1, A0A8M3ATA4, A0A8M9PL13, A0A140LGH1, A0A8M9Q2S6, A0A8M9PLJ2, A0A8M2B8Q3, A0A8M1QHQ9, A0A8M3AWJ6, A0A8M6YVD1, A0A8M9PJL2, A0A8M6Z575, A0A8M9PM89, A0A8M6YXT6, A0A8M6YXJ2, A0A8M3AQK7, A0A8M9PS21, A0A8M2B4Y6, A0A8M1PV89, A0A8M9PL17, A0A8M9PTD4, A0A8M9PZB8, A0A8M9PKE5, A0A8M3B0M8, A0A8M6Z535, A0A2R8RJF7, A0A8M3ATP6, A0A8M9QAR5, A0A8M2BBT9, A0A8M9P9N7, A0A8M9P9Q9, A0A8M9P8K4, A0A8M6YWM5, A0A8M6Z4Z0, A0A8M6YZ46, A0A8M9PZA8, A0A8M9PKW8, A0A8M9P9S3, A0A8M9PRW0, A0A8M2BLY7, A0A8M9PZW6, A0A8M6Z5U5, F1RDB1, A0A8M9Q5N0, A0A8M9PTV9, A0A8M9PZW1, A0A8M9Q306, A0A8M9PQC7, A0A8M3B5R2, A0A8M2BLS2, A0A8M1PT33, A0A8M9P1V9, A0A8M9P8F0
OG0000025	A0A0A0MRZ8, P04433, A0A0C4DH25, P01619, A0A075B6H7, A0A0C4DH90, A0A0C4DH55, A0A087WSY6, P01624, A0A075B6S6, P06310, A0A075B6R9, A0A0C4DH68, A0A0A0MRZ7, A2NJV5, A0A075B6S2, P01614, A0A087WW87, A0A075B6P5, P01615, P06312, A0A0C4DH26, A0A0A0MT36, A0A0C4DH24, P06315, Q15116, P09564, A0A075B7D4, P01593, P01594, P0DSN7, A0A075B6S9, A0A075B6S5, A0A0G2JRQ6, A0A087WSZ0, A0A0C4DH67, A0A0B4J1Z2, P01599, A0A0C4DH72, A0A075B6S4, A0A0C4DH73, P01611, P04430, P01601, P01602, A0A0B4J2D9, P0DP09, A0A0C4DH69, A0A075B6H8, P04432, P01597	A0A8M3AYE0
OG0000030	Q8ND71	A0A8M3B7Y5, A0A8M9PWT7, A0A8M9Q1Q5, A0A8M9PQH4, A0A8M9Q9B4, A0A8M9PQI5, A0A8M9Q1U4, R4GDV0, A0A8M9QC70, A0A0G2KUY7, A0A8M1RSB5, A0A8M1NHQ0, A0A8M9Q338, A0A8M6Z1E6, A7YY96, A0A8M9QI99, B3DIJ3, A0A8M6Z7H8, A0A8M9Q995, B0S637, A0A8M6YXJ7, A0A8M1QH75, A5PLE9, A0A8M9PXX6, A0A8M9PJL7, A8WFZ9, A0A8M9Q292, A0A8M2BB16, A0A8M9PZC5, A0A8M6YZM0, A0A8M9PXW0, A0A8M1PZ52, A0A0G2KPB1, Q08CV6, A0A8M2B6W1, A0A8M3AR62, A0A8M6Z0D2, A0A2R8QU83, A0A8M9PX94, F1QIR3, A0A8M3AQ50, A0A8M1QL23, A0A8M9PQF0
OG0000031	Q9UDY6, Q9C019, Q12899, Q9BZY9, Q6P9F5, Q9H2S5, Q9C029, Q8WV44, Q96A61, A0A3B3IT33, Q9BSJ1, A6NDI0, P0CI26, P0CI25, Q8IWZ4, C9J1S8, I1YAP6, A6NCK2, Q96BQ3, A6NGJ6, A6NI03, A6NLI5, Q8N9V2, Q8N7C3, Q9C037, Q9Y577, Q96F44, Q5TA31, Q9C035, Q9BYJ4, Q8IYM9, Q9C030, P19474, O00635, Q8NG06, Q6AZZ1, P14373, O15553, Q9HCM9, A6NK02, Q495X7	A0A8M6YTL5, A0A8M3B6K0
OG0000033	O43464	A0A8M9PLT5, A0A8M9QCM4, A0A8M9Q3F7, A0A8M9QCM8, A0A8M9QCV4, A0A8M9Q065, A0A8M9PLU5, A0A8M9PLU9, A7YYA4, A0A8M9PMS7, B8A626, A0A8M9QG75, A0A8M9QK16, A0A8M6Z9M5, A0A8M9Q128, A0A8M9QAR7, A0A8M9PTZ3, A7MC74, A0A8M9PMV6, A7MC75, A0A0R4IHT1, A0A8M9Q149, E9QFX7, A0A8M6Z3U6, A0A8M9PIN3, A0A8M1RRS1, A0A8M9P3J2, A0A8M9PDK3, A0A8M9PQU3, A0A8M6Z365, A0A8M2B7W6, A0A8M9QP02, A0A8M9QKF1, A0A8M9QLE8, A0A8M9Q060, A0A8M9PYY8, A0A8M9PTZ8, A0A8M9PBC7, A0A8M9QG79, A0A8M9QC71, A0A8M9Q6Y4
OG0000035	Q9UPQ4	Q1L9F9, Q6PGW1, A8WG90, I3ITQ0, A0A8M9Q7M1, F2Z4W9, A0A8M2BHW3, B8JLS7, F1R7D2, A0A8M1Q7P5, A0A8M1PZW6, A0A8M2BIV5, F1QMZ7, A0A0R4IV10, A0A0R4ICE2, F1QWI8, A0A8M9PAX5, A8WG17, A0A0R4IJZ5, A0A8N7TEP3, Q1MT09, A0A8N7UV72, Q1MT11, A0A8M1QHK9, A3KH08, A0A0R4IPB1, A0A0R4IIJ3, A0A2R8RZP6, Q58EJ1, Q5U3I5, F1QZQ5, F1QSW1, A0A8M1PZV1, A9JTD1, A0A0G2L0E2, A0A8M1RM68, A0A8N7TBF6, A7MBU2, Q503E5, A0A8M9QAN4
