Orthogroup	Zebrafish.UniProt.renamed	Human.UniProt.renamed	Category
OG0000000	A0A0G2KC95, A0A0G2KGX6, A0A0G2KLW9, A0A0G2KMQ4, A0A0G2KSV7, A0A0G2KV12, A0A0G2KX20, A0A0G2KZI5, A0A0G2L3K9, A0A0G2L6P1, A0A0G2L8H4, A0A0G2L8H6, A0A0H2UJC5, A0A0N4STY5, A0A0R4ICQ4, A0A0R4IDX8, A0A0R4IE88, A0A0R4IFI4, A0A0R4IM04, A0A0R4IMN7, A0A0R4IMZ3, A0A0R4ISU2, A0A0R4ITU4, A0A0R4IUA4, A0A0R4IZJ3, A0A1L1QZI6, A0A1L1QZK1, A0A1L1QZL6, A0A1L1QZM8, A0A1L1QZQ8, A0A8M1PYW7, A0A8M1Q703, A0A8M1QR37, A0A8M1QR75, A0A8M1RES8, A0A8M1RFD5, A0A8M1RFZ2, A0A8M1RIL7, A0A8M1RIN6, A0A8M1RJ28, A0A8M1RK25, A0A8M1RK28, A0A8M1RKN6, A0A8M1RLR6, A0A8M1RLW9, A0A8M1RNC8, A0A8M1RND1, A0A8M1RNT7, A0A8M1RSI6, A0A8M1RSJ1, A0A8M1RSJ2, A0A8M2B5H6, A0A8M2BC48, A0A8M2BC91, A0A8M2BIS6, A0A8M2BLL3, A0A8M2BLM9, A0A8M2BLN0, A0A8M2BLN8, A0A8M2BLQ7, A0A8M2BLQ9, A0A8M2BLX0, A0A8M3APF8, A0A8M3ARN4, A0A8M3ART3, A0A8M3ASC7, A0A8M3AUV0, A0A8M3AY22, A0A8M3AZ05, A0A8M3B203, A0A8M3B217, A0A8M3B221, A0A8M3B7F9, A0A8M3B939, A0A8M3B958, A0A8M3B972, A0A8M6YW74, A0A8M6YW89, A0A8M6YX56, A0A8M6YXA9, A0A8M6YXE3, A0A8M6YXG2, A0A8M6YXG3, A0A8M6YXH0, A0A8M6YXJ3, A0A8M6YXK9, A0A8M6YXM9, A0A8M6YXP3, A0A8M6YXQ7, A0A8M6YXT9, A0A8M6YXW3, A0A8M6YXX2, A0A8M6YY50, A0A8M6YYA1, A0A8M6YYC3, A0A8M6YYJ1, A0A8M6YYJ5, A0A8M6YYN2, A0A8M6YYP6, A0A8M6YYQ9, A0A8M6YYT5, A0A8M6YYU3, A0A8M6YYZ2, A0A8M6YZM4, A0A8M6YZP1, A0A8M6YZT4, A0A8M6YZW2, A0A8M6Z036, A0A8M6Z065, A0A8M6Z075, A0A8M6Z0A7, A0A8M6Z0B4, A0A8M6Z1H4, A0A8M6Z4L6, A0A8M6Z4T6, A0A8M6Z591, A0A8M6Z5F0, A0A8M6Z5K8, A0A8M6Z5L5, A0A8M6Z5V9, A0A8M6Z5Z9, A0A8M6Z685, A0A8M6Z6A7, A0A8M6Z6H1, A0A8M6Z6H8, A0A8M6Z6I8, A0A8M6Z6L2, A0A8M6Z6L8, A0A8M9P708, A0A8M9P7C4, A0A8M9P7L4, A0A8M9P7N8, A0A8M9P8R4, A0A8M9PC49, A0A8M9PHK8, A0A8M9PI01, A0A8M9PIB1, A0A8M9PIG5, A0A8M9PIJ7, A0A8M9PIU1, A0A8M9PIY5, A0A8M9PJ07, A0A8M9PJ10, A0A8M9PJ32, A0A8M9PJG5, A0A8M9PM08, A0A8M9PNP1, A0A8M9PP09, A0A8M9PTM4, A0A8M9PUT2, A0A8M9PVQ0, A0A8M9PVV9, A0A8M9PW66, A0A8M9PW95, A0A8M9PWK0, A0A8M9PWK5, A0A8M9PWL4, A0A8M9PWM2, A0A8M9PWM4, A0A8M9PY41, A0A8M9Q095, A0A8M9Q0U0, A0A8M9Q1I7, A0A8M9Q1R6, A0A8M9Q1Y2, A0A8M9Q251, A0A8M9Q2C6, A0A8M9Q5Q7, A0A8M9Q6S8, A0A8M9Q6U6, A0A8M9Q716, A0A8M9Q737, A0A8M9Q746, A0A8M9Q7H3, A0A8M9Q7I7, A0A8M9Q7M4, A0A8M9Q7M9, A0A8M9QC08, A0A8M9QC35, A0A8M9QC48, A0A8M9QC56, A0A8M9QC95, A0A8M9QCB3, A0A8M9QCG6, A0A8M9QCI8, A0A8M9QCK0, A0A8M9QD46, A0A8N7TE11, A0A8N7TE62, A0A8N7TEU6, A3KP52, A4QP69, A5PLB8, A7MBW5, A7YYC6, A8DZG6, A8E5E0, A8KBM3, A8KBM4, A8KBW9, A8KC43, A8WFT7, A8WFV9, A8WGS6, A9JRN8, A9JRP3, A9JRS0, A9JRV7, A9JT01, A9JT09, A9JT87, A9JT89, B3DJW9, E7EY84, E7EZN1, E7F097, E7F4F9, E7F7L9, E7F7Z6, E7F8S6, E7F931, E7FCR0, E7FFC8, E7FG25, E7FGF5, E9QGT6, E9QIS6, E9QJ51, F1QIY2, F1QKI8, F1QMQ9, F1QRJ7, F1R2M3, F1RD83, H0WE67, H0WE71, H0WEM0, H0WER4, H0WEY7, H0WFB5, H0WFG3, H0WFG6, H9GXG3, H9GXI3, H9GYV7, H9GYZ1, K7DY30, Q0P4D4, Q4V9F7, Q503R9, Q56A57, Q5BJB1, R4GDQ3, U3JA50, X1WCK9, X1WDI0, X1WHR9		zebrafish_exclusive
OG0000001	A0A0G2KE12, A0A0G2KH00, A0A0G2KSD8, A0A0G2L2X0, A0A0R4ICM8, A0A0R4IFM9, A0A0R4IKB5, A0A0R4IM72, A0A8M1N456, A0A8M1Q1J8, A0A8M1QL07, A0A8M1QLN4, A0A8M1QUS0, A0A8M1RFS5, A0A8M1RI04, A0A8M1RJG8, A0A8M1RMZ5, A0A8M2B7V8, A0A8M2B7W3, A0A8M2B7W7, A0A8M2B8D7, A0A8M2B8F9, A0A8M2B8G5, A0A8M2B8I7, A0A8M2B8K0, A0A8M2B8K9, A0A8M2BHN5, A0A8M2BHN9, A0A8M2BHP6, A0A8M2BHP7, A0A8M2BHP9, A0A8M2BHQ1, A0A8M2BHQ2, A0A8M2BHQ4, A0A8M2BHQ7, A0A8M2BHQ9, A0A8M2BHR0, A0A8M2BHR7, A0A8M2BI49, A0A8M2BI54, A0A8M2BI59, A0A8M2BLA9, A0A8M2BLB1, A0A8M3AL62, A0A8M3ALV3, A0A8M3ALZ3, A0A8M3ALZ9, A0A8M3AM09, A0A8M3AM14, A0A8M3AM19, A0A8M3AM57, A0A8M3AMP1, A0A8M3AMP5, A0A8M3AMR5, A0A8M3AUD3, A0A8M3AUD6, A0A8M3AUE7, A0A8M3AUK6, A0A8M3AXC1, A0A8M3AXE7, A0A8M3B570, A0A8M3B590, A0A8M3B593, A0A8M6YUX9, A0A8M6YV29, A0A8M6YV33, A0A8M6YV89, A0A8M6YVK8, A0A8M6YVL0, A0A8M6YVM0, A0A8M6YWW6, A0A8M6YWZ1, A0A8M6YXF3, A0A8M6Z2H8, A0A8M6Z3E5, A0A8M6Z3H8, A0A8M6Z3I1, A0A8M6Z3I5, A0A8M6Z426, A0A8M6Z485, A0A8M6Z490, A0A8M6Z493, A0A8M6Z5J9, A0A8M9P4B8, A0A8M9P4D0, A0A8M9P4D6, A0A8M9P4D7, A0A8M9P4V6, A0A8M9P4W0, A0A8M9P7M9, A0A8M9P890, A0A8M9PDV0, A0A8M9PE04, A0A8M9PE09, A0A8M9PE19, A0A8M9PE23, A0A8M9PE28, A0A8M9PE76, A0A8M9PE81, A0A8M9PEQ5, A0A8M9PIJ4, A0A8M9PIJ8, A0A8M9PJP4, A0A8M9PJR6, A0A8M9PJS0, A0A8M9PKD5, A0A8M9PKD9, A0A8M9PP06, A0A8M9PRX3, A0A8M9PRY4, A0A8M9PRZ3, A0A8M9PRZ7, A0A8M9PS36, A0A8M9PS52, A0A8M9PSP4, A0A8M9PSP9, A0A8M9PV55, A0A8M9PV61, A0A8M9PVA5, A0A8M9PVE7, A0A8M9PVF6, A0A8M9PVG6, A0A8M9PVH0, A0A8M9PVH6, A0A8M9PW45, A0A8M9PW50, A0A8M9PXU7, A0A8M9QBY4, A0A8M9QMK6, A0A8N7UQR0, A3KP61, A4FVL9, A4VCH2, A5PMB3, A7MBN8, A7MC87, A7YYC8, A8DZC6, A8E518, A8E5B1, A8KB54, A9JRB0, A9JRP4, B3DG10, B8JM00, E7EZP5, E7F7C6, E7F7V9, E7F8E6, F1Q5S4, F1QII2, Q1LW50, Q32PP4, Q567X4, Q58EF6, Q58ER6, Q5BLB9, Q5EAQ0, Q5EAQ6, X1WDD7	Q8N8Y5, Q9BWE0	many-to-many
OG0000002	A0A0G2KI00, A0A0G2KLM8, A0A0G2KZN8, A0A0G2L199, A0A0G2L6Z5, A0A0R4IFY6, A0A0R4IIT7, A0A286YB60, A0A2R8QGS5, A0A8M1PU54, A0A8M1QKP2, A0A8M1QVG4, A0A8M2B449, A0A8M2B5W2, A0A8M2B8C9, A0A8M2B8I0, A0A8M2B8K2, A0A8M2BIG9, A0A8M3AGZ9, A0A8M3AXM5, A0A8M3B583, A0A8M3B7J0, A0A8M6YWQ4, A0A8M6YXE1, A0A8M6YXH4, A0A8M6YY38, A0A8M6YYG0, A0A8M6YYK5, A0A8M6YYP7, A0A8M6YYQ1, A0A8M6YYS8, A0A8M6YYY3, A0A8M6YZC7, A0A8M6Z043, A0A8M6Z059, A0A8M6Z062, A0A8M6Z073, A0A8M6Z080, A0A8M6Z4R4, A0A8M6Z4U7, A0A8M6Z578, A0A8M6Z5G2, A0A8M6Z5X4, A0A8M6Z671, A0A8M6Z6I0, A0A8M9P8J5, A0A8M9PA83, A0A8M9PGW1, A0A8M9PGW4, A0A8M9PHN8, A0A8M9PI20, A0A8M9PI48, A0A8M9PI92, A0A8M9PIA3, A0A8M9PIL8, A0A8M9PIP6, A0A8M9PJS9, A0A8M9PLJ1, A0A8M9PNH3, A0A8M9PNH9, A0A8M9PRG0, A0A8M9PTT9, A0A8M9PTU3, A0A8M9PU09, A0A8M9PUX2, A0A8M9PVE0, A0A8M9PVT6, A0A8M9PVZ0, A0A8M9PW38, A0A8M9PW70, A0A8M9PWI5, A0A8M9PXX4, A0A8M9PZD7, A0A8M9PZT1, A0A8M9PZT6, A0A8M9Q018, A0A8M9Q039, A0A8M9Q0U4, A0A8M9Q192, A0A8M9Q1A4, A0A8M9Q1G5, A0A8M9Q1M8, A0A8M9Q1S0, A0A8M9Q1T5, A0A8M9Q1X8, A0A8M9Q255, A0A8M9Q280, A0A8M9Q291, A0A8M9Q2F1, A0A8M9Q640, A0A8M9Q664, A0A8M9Q6J7, A0A8M9Q6K4, A0A8M9Q7C6, A0A8M9Q7E9, A0A8M9Q7I4, A0A8M9Q828, A0A8M9QB85, A0A8M9QBJ8, A0A8M9QBK4, A0A8M9QC11, A0A8M9QC89, A0A8M9QCG2, A0A8M9QCX6, A0A8M9QCZ3, A7MCB3, A7MCG4, A7YYB7, A8E506, A8E5D2, A8KBK0, A8WGK4, A8WGK9, A9JRR4, B0JZJ0, B0JZK2, B0VJZ9, B1WB80, E7F6B3, F1QJG9, F1R3N6, F1R7V0, H0WE42, H0WE47, K7DY82, Q5BJ00, Q5BLG9, Q5J2I5, X1WDJ1	P17041	many-to-one
OG0000003		A0A2R8Y4L6, A0A2R8YED5, A6ND48, A6NDH6, A6NET4, A6NHG9, A6NKK0, A6NL26, A6NMS3, O95007, O95221, P0C617, P0C626, P0C628, P0C7N1, P0C7N5, P0C7N8, P0DMU2, P0DN80, P0DN82, P47881, P47883, P47888, P47893, P58182, Q13606, Q15617, Q15620, Q6IEU7, Q6IF36, Q6IFH4, Q8N0Y5, Q8N127, Q8N146, Q8N162, Q8NG75, Q8NG78, Q8NGC0, Q8NGC1, Q8NGC7, Q8NGC8, Q8NGC9, Q8NGE7, Q8NGE9, Q8NGF4, Q8NGF7, Q8NGG0, Q8NGG1, Q8NGG2, Q8NGG3, Q8NGG4, Q8NGG5, Q8NGG6, Q8NGG7, Q8NGG8, Q8NGI8, Q8NGI9, Q8NGJ0, Q8NGK9, Q8NGL0, Q8NGL1, Q8NGL2, Q8NGL3, Q8NGL4, Q8NGM9, Q8NGP2, Q8NGP3, Q8NGP4, Q8NGP6, Q8NGP8, Q8NGP9, Q8NGQ1, Q8NGQ2, Q8NGQ5, Q8NGQ6, Q8NGR1, Q8NGR4, Q8NGV6, Q8NGV7, Q8NGW1, Q8NGW6, Q8NGX0, Q8NGX8, Q8NGX9, Q8NGY2, Q8NGY3, Q8NGY5, Q8NGY6, Q8NGZ2, Q8NGZ3, Q8NH09, Q8NH10, Q8NH18, Q8NH48, Q8NH50, Q8NH51, Q8NH69, Q8NH85, Q8NH87, Q8NH89, Q8NH90, Q8NHB7, Q8NHB8, Q8NHC5, Q8NHC6, Q8NHC7, Q8WZ84, Q8WZ92, Q8WZ94, Q96R08, Q96R09, Q96R54, Q96RB7, Q96RC9, Q96RD0, Q9GZK7, Q9GZM6, Q9NZP5, Q9UGF5, Q9UGF7	human_exclusive
OG0000004	A0A0R4IS41, A0A0R4IX00, A0A8M1PS56, A0A8M2BBI2, A0A8M3ARU5, A0A8M3AZ18, A0A8M3AZZ6, A0A8M3B8L6, A0A8M6YTE4, A0A8M6YV39, A0A8M6YWV8, A0A8M6YXR1, A0A8M6YYA9, A0A8M6YZP9, A0A8M6Z039, A0A8M6Z051, A0A8M6Z565, A0A8M6Z5T5, A0A8M6Z5Z1, A0A8M6Z695, A0A8M9PGP4, A0A8M9PI30, A0A8M9PI96, A0A8M9PIE2, A0A8M9PIK6, A0A8M9PIN6, A0A8M9PIR6, A0A8M9PIS4, A0A8M9PIV5, A0A8M9PIX2, A0A8M9PIX6, A0A8M9PIZ7, A0A8M9PLJ6, A0A8M9PNC6, A0A8M9PNK1, A0A8M9PNL1, A0A8M9PNS7, A0A8M9PNX1, A0A8M9PS19, A0A8M9PTV5, A0A8M9PUU1, A0A8M9PVB5, A0A8M9PVD0, A0A8M9PVE5, A0A8M9PVF9, A0A8M9PVK5, A0A8M9PVQ8, A0A8M9PVW8, A0A8M9PW58, A0A8M9PWA4, A0A8M9PWD0, A0A8M9PWE4, A0A8M9PWG3, A0A8M9PWH7, A0A8M9PWK9, A0A8M9Q0W9, A0A8M9Q1F4, A0A8M9Q1L1, A0A8M9Q1L5, A0A8M9Q1P2, A0A8M9Q1S4, A0A8M9Q1U3, A0A8M9Q1W9, A0A8M9Q238, A0A8M9Q260, A0A8M9Q5L8, A0A8M9Q6D9, A0A8M9Q6I4, A0A8M9Q6K6, A0A8M9Q6L5, A0A8M9Q6Q7, A0A8M9Q6V3, A0A8M9Q6Y3, A0A8M9Q6Z1, A0A8M9Q767, A0A8M9Q7C7, A0A8M9Q7D1, A0A8M9Q7E5, A0A8M9Q7G5, A0A8M9QAM1, A0A8M9QB88, A0A8M9QBN5, A0A8M9QC16, A0A8M9QC22, A0A8M9QC86, A0A8M9QCB6, A0A8M9QCD6, A0A8M9QCL2, A0A8M9QCV5, A0A8M9QCX2, A0A8M9QCX9, A0A8M9QCY4, A0A8M9QCZ6, A0A8M9QD04, A0A8M9QD26, B8A688, F1QLN7, I3ISW0	P17026, Q49A33, Q6ZT77, Q7Z3I7, Q8N3J9	many-to-many
OG0000005	A0A0R4IA89, A0A0R4IIW8, A0A0R4ISD6, A0A2R8Q3L4, A0A2R8Q6P2, A0A8M1NCG6, A0A8M1NR04, A0A8M1RJ47, A0A8M2B8J8, A0A8M2BLH0, A0A8M3ARP1, A0A8M3AYX4, A0A8M3AZ67, A0A8M6YU31, A0A8M6YWS9, A0A8M6YX64, A0A8M6YX98, A0A8M6YXA5, A0A8M6YXB2, A0A8M6YXC0, A0A8M6YXC8, A0A8M6YXD7, A0A8M6YXH8, A0A8M6YXP7, A0A8M6YY55, A0A8M6YY95, A0A8M6YYC0, A0A8M6YYS0, A0A8M6YYU6, A0A8M6YZT0, A0A8M6YZT8, A0A8M6YZU1, A0A8M6YZV9, A0A8M6YZZ8, A0A8M6Z008, A0A8M6Z047, A0A8M6Z097, A0A8M6Z454, A0A8M6Z5H4, A0A8M6Z5K6, A0A8M6Z5L8, A0A8M6Z5N2, A0A8M6Z5Q7, A0A8M6Z5V3, A0A8M6Z631, A0A8M6Z665, A0A8M6Z672, A0A8M6Z689, A0A8M6Z691, A0A8M6Z6B4, A0A8M6Z6B5, A0A8M6Z6E6, A0A8M6Z6F3, A0A8M6Z6G2, A0A8M6Z6J9, A0A8M9P4X4, A0A8M9P728, A0A8M9P7R0, A0A8M9PE46, A0A8M9PES5, A0A8M9PI81, A0A8M9PIA6, A0A8M9PIV9, A0A8M9PIZ0, A0A8M9PJ18, A0A8M9PJ41, A0A8M9PNY0, A0A8M9PRK3, A0A8M9PS02, A0A8M9PS16, A0A8M9PSS1, A0A8M9PV76, A0A8M9PVK1, A0A8M9PVV5, A0A8M9PW71, A0A8M9Q013, A0A8M9Q168, A0A8M9Q182, A0A8M9Q187, A0A8M9Q1B6, A0A8M9Q1D2, A0A8M9Q228, A0A8M9Q276, A0A8M9Q2B4, A0A8M9Q2C2, A0A8M9Q2E0, A0A8M9Q6J2, A0A8M9Q6M6, A0A8M9Q6U2, A0A8M9Q7H7, A0A8M9Q7I1, A0A8M9Q7M0, A0A8M9QBZ7, A0A8M9QC26, A0A8M9QC29, A0A8M9QCM5, A0A8M9QCN5, A0A8N7UZ16, E7F7L0, H0WEY0, Q5RI63		zebrafish_exclusive
OG0000006	A0A0G2LAJ1, A0A0R4IJ94, A0A0R4INJ4, A0A1D5NSA3, A0A286Y945, A0A2R8Q9C0, A0A8M1PUZ1, A0A8M1Q7Z6, A0A8M1RDC2, A0A8M1REU8, A0A8M1RFB3, A0A8M1RJY4, A0A8M1RLP4, A0A8M1RLP8, A0A8M1RLR7, A0A8M1RN39, A0A8M1RN91, A0A8M1RSD5, A0A8M1RSE3, A0A8M2B8U3, A0A8M2BAS0, A0A8M2BAU1, A0A8M2BAX9, A0A8M2BLS7, A0A8M3AIS9, A0A8M3APZ3, A0A8M3AQJ4, A0A8M3B540, A0A8M3B808, A0A8M6YT20, A0A8M6YUJ2, A0A8M6YUU8, A0A8M6YUV5, A0A8M6YV40, A0A8M6YW98, A0A8M6YY08, A0A8M6Z1N9, A0A8M6Z2E5, A0A8M6Z2N0, A0A8M6Z978, A0A8M9P351, A0A8M9P841, A0A8M9PAX6, A0A8M9PFQ3, A0A8M9PGT3, A0A8M9PJ36, A0A8M9PLE8, A0A8M9PS23, A0A8M9PTX6, A0A8M9PXG9, A0A8M9PZY0, A0A8M9QA72, A0A8M9QAQ8, A0A8M9QNX8, A0A8N7T6I4, A0A8N7T6R6, A0A8N7T6X9, A0A8N7TBM3, A0A8N7TDQ8, A0A8N7TF33, A0A8N7TFG1, A0A8N7UV20, A0A8N7UV86, A0A8N7UVE5, A0A8N7UVN8, A3KQE0, A4IG09, A5PLE6, A8E7M3, A8E7R9, A8WG25, B0S6R8, E7F3Y3, E7F4P5, E7F5J0, E7FBJ9, F1Q5D7, F1Q5R2, F1QHA1, F1QXB4, F1QYG2, F1R437, F1R871, F1R9Z3, Q08CC1, Q1LXS0, Q5RIK1, Q6DH90, Q8AW62, X1WBW4, X1WD42, X1WDR3, X1WEE8		zebrafish_exclusive
OG0000007	A0A0G2KEU5, A0A8M1PSK1, A0A8M1PT23, A0A8M1PVD6, A0A8M1Q2C3, A0A8M1QL34, A0A8M1QQQ7, A0A8M1RNJ3, A0A8M2B5R4, A0A8M3AMF9, A0A8M3AQI8, A0A8M3ARC8, A0A8M3AUV8, A0A8M3AXV9, A0A8M3AXW5, A0A8M3B165, A0A8M3B572, A0A8M3B5Q9, A0A8M6YV14, A0A8M6YVP1, A0A8M6Z0Q1, A0A8M6Z299, A0A8M6Z804, A0A8M6Z894, A0A8M9NYQ8, A0A8M9P245, A0A8M9P2C9, A0A8M9P2D3, A0A8M9P2D7, A0A8M9P2E1, A0A8M9P9L8, A0A8M9PB97, A0A8M9PBI0, A0A8M9PBI3, A0A8M9PCE9, A0A8M9PF50, A0A8M9PG10, A0A8M9PGT4, A0A8M9PH21, A0A8M9PH25, A0A8M9PH28, A0A8M9PI32, A0A8M9PIV3, A0A8M9PKR0, A0A8M9PKT4, A0A8M9PL36, A0A8M9PLT2, A0A8M9PMG5, A0A8M9PNT5, A0A8M9PP32, A0A8M9PP54, A0A8M9PP66, A0A8M9PPV5, A0A8M9PQC1, A0A8M9PRR0, A0A8M9PRT7, A0A8M9PS28, A0A8M9PSE7, A0A8M9PV26, A0A8M9PVA2, A0A8M9PW52, A0A8M9PWK6, A0A8M9PY39, A0A8M9PZ16, A0A8M9PZ21, A0A8M9PZ40, A0A8M9Q0B7, A0A8M9Q1Y1, A0A8M9Q2E6, A0A8M9Q3N3, A0A8M9Q3R9, A0A8M9Q416, A0A8M9Q4E1, A0A8M9Q660, A0A8M9Q6B2, A0A8M9Q6I5, A0A8M9Q6I8, A0A8M9Q825, A0A8M9Q8V6, A0A8M9Q9V9, A0A8M9QAP7, A0A8M9QE12, A0A8M9QF34, A0A8M9QFQ2, A0A8M9QH95		zebrafish_exclusive
OG0000008		A0A126GWI2, A0A2R8YEG4, A0A2R8YEH3, A0A2R8YEV3, A4D2G3, A6NFC9, O60403, O60404, O76000, O76001, O76002, O95006, O95047, O95371, O95918, P0C629, P0DN81, P30954, P58173, P58181, P59922, Q13607, Q5JQS5, Q5JRS4, Q5TZ20, Q6IF42, Q6IF99, Q7Z3T1, Q8N628, Q8NG92, Q8NGA5, Q8NGA6, Q8NGE0, Q8NGE3, Q8NGE5, Q8NGF6, Q8NGH3, Q8NGI7, Q8NGQ4, Q8NGS4, Q8NGS5, Q8NGS6, Q8NGS7, Q8NGS8, Q8NGS9, Q8NGT0, Q8NGT1, Q8NGT2, Q8NGT7, Q8NGT9, Q8NGU4, Q8NGV0, Q8NGV5, Q8NGX3, Q8NGX5, Q8NGX6, Q8NGY0, Q8NGY1, Q8NGY7, Q8NGZ4, Q8NGZ5, Q8NH08, Q8NH19, Q8NH74, Q8NH95, Q8NHA6, Q8NHC4, Q96KK4, Q96R45, Q96R47, Q96R48, Q9BZC5, Q9GZK3, Q9GZK4, Q9GZK6, Q9H207, Q9H208, Q9H209, Q9H210, Q9NQN1, Q9UGF6, Q9Y3N9, Q9Y4A9	human_exclusive
OG0000009		A6NDX5, A8MQ14, B4DU55, C9JBD0, O60765, O75290, O95201, P0CG24, P10072, P15622, P17023, P17027, P17036, P17039, P17097, P52736, P52738, P52742, Q14585, Q14929, Q15937, Q16587, Q2M3W8, Q3KNS6, Q494X3, Q49AA0, Q5EBM4, Q5FWF6, Q5HYK9, Q5JNZ3, Q6ECI4, Q6P1L6, Q6P280, Q6PG37, Q6ZMY9, Q6ZN57, Q6ZNG0, Q6ZS27, Q6ZSS3, Q7Z3V5, Q86TJ5, Q86UE3, Q86UQ0, Q86Y25, Q86YE8, Q8IZ26, Q8N141, Q8N2I2, Q8N7M2, Q8N9F8, Q8N9K5, Q8NA42, Q8NB42, Q8NCK3, Q8NDQ6, Q8NHY6, Q8TAF7, Q8TAQ5, Q8WTR7, Q969W8, Q96C28, Q96K75, Q96LW1, Q96N20, Q96ND8, Q96NG8, Q96NI8, Q96SK3, Q99676, Q9BRH9, Q9BSG1, Q9BX82, Q9C0F3, Q9HCL3, Q9NQX6, Q9NR11, Q9P2J8, Q9UJL9, Q9Y2G7, Q9Y6R6	human_exclusive
