orthogroup,query,target_id,per_identity,per_similarity,length,score,gaps,identities,mismatches
OG0000001,A0A8M9PE23,Q8N8Y5,29.51,7.1,366,669.0,232,108,26
OG0000001,A0A8M2BHP6,Q8N8Y5,27.7,7.76,361,650.0,233,100,28
OG0000001,A0A8M6Z3E5,Q8N8Y5,24.24,4.55,462,691.0,329,112,21
OG0000001,A5PMB3,Q8N8Y5,30.33,6.0,300,565.0,191,91,18
OG0000001,A0A8M1RMZ5,Q8N8Y5,27.68,6.73,401,683.0,263,111,27
OG0000001,A0A8M3AMP1,Q8N8Y5,23.11,4.99,541,777.0,389,125,27
OG0000001,A0A8M3AM57,Q8N8Y5,18.7,3.97,706,827.0,546,132,28
OG0000001,A0A8M9QBY4,Q8N8Y5,26.27,7.06,354,589.0,236,93,25
OG0000001,A0A8M2B8I7,Q8N8Y5,26.48,5.25,457,739.0,312,121,24
OG0000001,A0A8M9PRX3,Q8N8Y5,24.84,5.89,475,725.0,329,118,28
OG0000001,A0A0R4IM72,Q8N8Y5,27.09,8.65,347,606.0,223,94,30
OG0000001,F1Q5S4,Q8N8Y5,27.82,6.82,381,673.0,249,106,26
OG0000001,A0A8M9PJS0,Q8N8Y5,28.14,5.74,366,649.0,242,103,21
OG0000001,A0A8M9PV61,Q8N8Y5,19.37,4.84,702,856.0,532,136,34
OG0000001,A0A8M9PSP9,Q8N8Y5,18.98,3.97,706,826.0,544,134,28
OG0000001,A0A8M2BI49,Q8N8Y5,22.26,7.36,530,753.0,373,118,39
OG0000001,A0A8M6YUX9,Q8N8Y5,23.39,5.34,543,785.0,387,127,29
OG0000001,A0A8M9P4D0,Q8N8Y5,26.59,5.91,440,729.0,297,117,26
OG0000001,A0A8M1RFS5,Q8N8Y5,18.47,3.89,720,821.0,559,133,28
OG0000001,A0A8M2B8D7,Q8N8Y5,28.53,7.07,382,692.0,246,109,27
OG0000001,A0A0G2KH00,Q8N8Y5,25.16,6.82,469,743.0,319,118,32
OG0000001,A0A8M9PE04,Q8N8Y5,24.65,6.22,434,676.0,300,107,27
OG0000001,A0A8M3B593,Q8N8Y5,26.16,6.36,409,679.0,276,107,26
OG0000001,A0A0G2KSD8,Q8N8Y5,26.94,7.28,412,699.0,271,111,30
OG0000001,A0A8M3AM14,Q8N8Y5,24.26,4.14,507,751.0,363,123,21
OG0000001,A0A8M9PW50,Q8N8Y5,16.18,2.05,927,901.0,758,150,19
OG0000001,A0A8M3ALV3,Q8N8Y5,20.11,4.17,696,858.0,527,140,29
OG0000001,A0A8M9P4V6,Q8N8Y5,29.56,8.81,318,598.0,196,94,28
OG0000001,A0A8M2B7W7,Q8N8Y5,23.54,4.47,514,760.0,370,121,23
OG0000001,A0A8M9PVG6,Q8N8Y5,27.74,4.9,429,721.0,289,119,21
OG0000001,Q5BLB9,Q8N8Y5,27.68,7.16,419,736.0,273,116,30
OG0000001,A0A8M9PSP4,Q8N8Y5,27.24,7.74,323,575.0,210,88,25
OG0000001,A0A8M3AUE7,Q8N8Y5,23.31,5.38,502,726.0,358,117,27
OG0000001,A0A8M9PE76,Q8N8Y5,28.24,7.25,386,684.0,249,109,28
OG0000001,A0A8M1QUS0,Q8N8Y5,26.7,7.81,397,672.0,260,106,31
OG0000001,A0A8M2BHP9,Q8N8Y5,26.22,5.8,431,688.0,293,113,25
OG0000001,A0A8M3AM09,Q8N8Y5,21.26,5.77,555,747.0,405,118,32
OG0000001,A0A8M2BHN5,Q8N8Y5,22.37,4.99,541,742.0,393,121,27
OG0000001,A0A0R4IKB5,Q8N8Y5,25.69,3.56,506,780.0,358,130,18
OG0000001,A0A8M9PIJ4,Q8N8Y5,24.07,5.56,486,726.0,342,117,27
OG0000001,E7F7V9,Q8N8Y5,21.23,3.81,603,813.0,452,128,23
OG0000001,A0A8M2BLB1,Q8N8Y5,24.88,7.04,426,694.0,290,106,30
OG0000001,A0A8M9P4W0,Q8N8Y5,27.18,4.61,412,683.0,281,112,19
OG0000001,A4VCH2,Q8N8Y5,28.77,7.95,365,655.0,231,105,29
OG0000001,F1QII2,Q8N8Y5,30.0,7.88,330,633.0,205,99,26
OG0000001,A0A8M9QMK6,Q8N8Y5,22.28,5.06,534,752.0,388,119,27
OG0000001,A0A8M9PS36,Q8N8Y5,27.32,7.96,377,659.0,244,103,30
OG0000001,A0A8M6YVM0,Q8N8Y5,24.55,6.64,497,757.0,342,122,33
OG0000001,A0A8M6Z2H8,Q8N8Y5,19.81,4.68,641,794.0,484,127,30
OG0000001,A0A8M3ALZ3,Q8N8Y5,27.11,5.69,439,735.0,295,119,25
OG0000001,Q5EAQ0,Q8N8Y5,27.45,6.16,357,612.0,237,98,22
OG0000001,A0A8M3AM19,Q8N8Y5,28.79,6.06,396,704.0,258,114,24
OG0000001,A0A8M6YVK8,Q8N8Y5,21.39,3.74,589,772.0,441,126,22
OG0000001,A0A8M9PVE7,Q8N8Y5,20.06,3.32,633,781.0,485,127,21
OG0000001,A0A8M9PJR6,Q8N8Y5,27.91,3.49,430,710.0,295,120,15
OG0000001,A0A8M3AUD6,Q8N8Y5,29.94,8.08,334,637.0,207,100,27
OG0000001,A0A8M2BHN9,Q8N8Y5,26.77,4.04,396,639.0,274,106,16
OG0000001,B8JM00,Q8N8Y5,26.63,7.54,398,675.0,262,106,30
OG0000001,Q5EAQ6,Q8N8Y5,26.75,7.25,400,682.0,264,107,29
OG0000001,A0A0G2L2X0,Q8N8Y5,25.85,7.49,414,677.0,276,107,31
OG0000001,A0A8N7UQR0,Q8N8Y5,25.6,6.94,418,682.0,282,107,29
OG0000001,A9JRB0,Q8N8Y5,22.98,6.63,483,723.0,340,111,32
