Orthogroup	Human.UniProt.renamed	Zebrafish.UniProt.renamed
OG0013855	A0A0A0MTA2	
OG0013856	A0A1B0GTH6	
OG0013857	A0A2R8Y4M4	
OG0013858	P0C7T7	
OG0013859	P57053	
OG0013860	Q16790	
OG0013861	Q3MIV0	
OG0013862	Q5STR5	
OG0013863	Q8N813	
OG0013864	Q92928	
OG0013865	Q96GX8	
OG0013866	Q9P2X8	
OG0013867	A0A1B0GUI7	
OG0013868	O00161	
OG0013869	O95445	
OG0013870	P01730	
OG0013871	P04216	
OG0013872	Q30KP8	
OG0013873	Q6URK8	
OG0013874	Q8N205	
OG0013875	A8MUL3	
OG0013876	O43169	
OG0013877	P05231	
OG0013878	P24390	
OG0013879	Q06055	
OG0013880	Q5T871	
OG0013881	Q6UXQ4	
OG0013882	Q8N268	
OG0013883	Q8N9W6	
OG0013884	Q96DZ9	
OG0013885	Q9P1D8	
OG0013886	A0A286YF46	
OG0013887	P01298	
OG0013888	P55957	
OG0013889	Q02575	
OG0013890	Q3ZCV2	
OG0013891	Q495Z4	
OG0013892	Q6UXR6	
OG0013893	Q8N8G6	
OG0013894	Q8WUX1	
OG0013895	Q9H3A6	
OG0013896	A0A075B6V8	
OG0013897	A0A0G2JQF1	
OG0013898	A2RUT3	
OG0013899	A5YM72	
OG0013900	A8MVS5	
OG0013901	P0C7U9	
OG0013902	P15391	
OG0013903	P45877	
OG0013904	Q3B8N5	
OG0013905	Q86TU6	
OG0013906	Q8TAI7	
OG0013907	Q969H9	
OG0013908	Q96D21	
OG0013909	Q96DC9	
OG0013910	Q96DZ7	
OG0013911	Q9BWG4	
OG0013912	Q9Y4M8	
OG0013913	A0A075B706	
OG0013914	P16860	
OG0013915	P41159	
OG0013916	Q16654	
OG0013917	Q6FI13	
OG0013918	Q6UXV4	
OG0013919	Q86YL5	
OG0013920	Q8IU57	
OG0013921	Q8TE12	
OG0013922	Q9BZS9	
OG0013923	Q9NRY6	
OG0013924	A0A075B6V1	
OG0013925	A0A075B6Y1	
OG0013926	A0A0A0MT85	
OG0013927	P30040	
OG0013928	Q13077	
OG0013929	Q13938	
OG0013930	Q86W54	
OG0013931	Q8N9Z9	
OG0013932	Q96LS8	
OG0013933	Q9NVF9	
