orthogroup	query	target_id	per_identity	per_similarity	length	score	gaps	identities	mismatches
OG0000001	Q9BWE0	Q8N8Y5	20.39	5.43	608	782.0	451	124	33
OG0000004	Q8N3J9	Q7Z3I7	31.02	5.89	577	1116.0	364	179	34
OG0000004	Q6ZT77	Q7Z3I7	19.19	5.11	568	667.0	430	109	29
OG0000004	P17026	Q7Z3I7	27.11	5.46	568	922.0	383	154	31
OG0000004	Q49A33	Q7Z3I7	24.08	4.57	569	827.0	406	137	26
OG0000004	Q6ZT77	Q8N3J9	27.13	11.04	317	544.0	196	86	35
OG0000004	P17026	Q8N3J9	37.12	11.66	326	766.0	167	121	38
OG0000004	Q49A33	Q8N3J9	36.59	9.78	317	747.0	170	116	31
OG0000004	P17026	Q6ZT77	27.36	8.11	296	483.0	191	81	24
OG0000004	Q49A33	Q6ZT77	33.21	10.19	265	541.0	150	88	27
OG0000004	Q49A33	P17026	34.62	14.69	286	643.0	145	99	42
OG0000025	A0A0A0MRZ8	P04432	58.52	13.33	135	445.0	38	79	18
OG0000025	A0A075B7D4	P04432	84.0	3.2	125	547.0	16	105	4
OG0000025	A0A075B6S6	P04432	47.3	12.84	148	407.0	59	70	19
OG0000025	A0A087WSZ0	P04432	79.07	2.33	129	532.0	24	102	3
OG0000025	Q15116	P04432	19.25	6.52	322	379.0	239	62	21
OG0000025	P01614	P04432	47.62	14.29	147	406.0	56	70	21
OG0000025	P01593	P04432	83.87	4.84	124	550.0	14	104	6
OG0000025	P01594	P04432	83.87	4.84	124	550.0	14	104	6
OG0000025	P0DSN7	P04432	82.26	6.45	124	538.0	14	102	8
OG0000025	P01599	P04432	82.03	0.78	128	547.0	22	105	1
OG0000025	A0A075B6H7	P04432	62.22	10.37	135	463.0	37	84	14
OG0000025	A0A0B4J2D9	P04432	85.6	1.6	125	554.0	16	107	2
OG0000025	A0A075B6R9	P04432	45.95	14.19	148	389.0	59	68	21
OG0000025	P01597	P04432	100.0	0.0	117	601.0	0	117	0
OG0000025	A0A0C4DH73	P04432	86.99	3.25	123	558.0	12	107	4
OG0000025	P06310	P04432	47.62	13.61	147	408.0	57	70	20
OG0000025	A0A0C4DH26	P04432	57.55	9.35	139	440.0	46	80	13
OG0000025	A0A087WW87	P04432	47.62	14.29	147	406.0	56	70	21
OG0000025	A0A0C4DH90	P04432	62.41	12.78	133	465.0	33	83	17
OG0000025	A0A0C4DH72	P04432	83.46	0.79	127	550.0	20	106	1
OG0000025	P04433	P04432	60.9	13.53	133	456.0	34	81	18
OG0000025	A0A075B6P5	P04432	49.66	11.56	147	415.0	57	73	17
OG0000025	A0A0A0MT36	P04432	57.25	10.14	138	430.0	45	79	14
OG0000025	A0A0C4DH55	P04432	57.97	13.04	138	455.0	40	80	18
OG0000025	A0A087WSY6	P04432	58.09	12.5	136	445.0	40	79	17
OG0000025	A0A075B6S9	P04432	82.26	6.45	124	538.0	14	102	8
OG0000025	A0A0C4DH69	P04432	87.8	2.44	123	563.0	12	108	3
OG0000025	P04430	P04432	84.0	3.2	125	542.0	16	105	4
OG0000025	A0A0C4DH24	P04432	58.39	10.22	137	436.0	43	80	14
OG0000025	A0A075B6S4	P04432	79.53	4.72	127	535.0	20	101	6
OG0000025	A0A0C4DH68	P04432	46.94	14.29	147	398.0	57	69	21
OG0000025	A0A0C4DH25	P04432	59.12	10.95	137	454.0	41	81	15
OG0000025	A0A0G2JRQ6	P04432	86.29	2.42	124	559.0	14	107	3
OG0000025	P01619	P04432	60.29	11.03	136	459.0	39	82	15
OG0000025	A0A0B4J1Z2	P04432	79.84	1.55	129	538.0	24	103	2
OG0000025	P01601	P04432	84.13	1.59	126	541.0	18	106	2
OG0000025	P01602	P04432	86.89	4.92	122	553.0	10	106	6
OG0000025	P01615	P04432	49.66	11.56	147	415.0	57	73	17
OG0000025	A0A075B6H8	P04432	64.75	3.6	139	477.0	44	90	5
OG0000025	P09564	P04432	21.86	6.09	279	340.0	201	61	17
OG0000025	A0A0C4DH67	P04432	81.1	1.57	127	534.0	22	103	2
OG0000025	P01624	P04432	59.26	12.59	135	448.0	38	80	17
OG0000025	P06312	P04432	56.55	7.59	145	448.0	52	82	11
OG0000025	A0A075B6S5	P04432	83.33	2.38	126	547.0	18	105	3
OG0000025	P01611	P04432	85.48	3.23	124	553.0	14	106	4
OG0000025	A0A0A0MRZ7	P04432	46.31	12.75	149	395.0	61	69	19
OG0000025	A2NJV5	P04432	48.98	12.24	147	409.0	57	72	18
OG0000025	P0DP09	P04432	85.6	1.6	125	554.0	16	107	2
OG0000025	A0A075B6S2	P04432	48.65	11.49	148	408.0	59	72	17
OG0000025	P06315	P04432	41.5	16.33	147	367.0	62	61	24
OG0000025	A0A075B7D4	A0A0A0MRZ8	54.68	12.23	139	425.0	46	76	17
OG0000025	A0A075B6S6	A0A0A0MRZ8	49.31	13.89	144	420.0	53	71	20
OG0000025	A0A087WSZ0	A0A0A0MRZ8	55.63	7.75	142	436.0	52	79	11
OG0000025	Q15116	A0A0A0MRZ8	19.94	3.68	326	377.0	249	65	12
OG0000025	P01614	A0A0A0MRZ8	50.68	10.96	146	418.0	56	74	16
OG0000025	P01593	A0A0A0MRZ8	55.8	12.32	138	439.0	44	77	17
OG0000025	P01594	A0A0A0MRZ8	55.8	12.32	138	439.0	44	77	17
OG0000025	P0DSN7	A0A0A0MRZ8	53.96	12.95	139	426.0	46	75	18
OG0000025	P01599	A0A0A0MRZ8	51.77	12.77	141	422.0	50	73	18
OG0000025	A0A075B6H7	A0A0A0MRZ8	78.91	1.56	128	525.0	25	101	2
OG0000025	A0A0B4J2D9	A0A0A0MRZ8	59.56	11.03	136	452.0	40	81	15
OG0000025	A0A075B6R9	A0A0A0MRZ8	48.63	12.33	146	401.0	57	71	18
OG0000025	P01597	A0A0A0MRZ8	58.52	13.33	135	445.0	38	79	18
OG0000025	A0A0C4DH73	A0A0A0MRZ8	57.46	15.67	134	442.0	36	77	21
OG0000025	P06310	A0A0A0MRZ8	50.35	13.99	143	425.0	51	72	20
OG0000025	A0A0C4DH26	A0A0A0MRZ8	52.55	15.33	137	427.0	44	72	21
OG0000025	A0A087WW87	A0A0A0MRZ8	50.68	10.96	146	418.0	56	74	16
OG0000025	A0A0C4DH90	A0A0A0MRZ8	85.37	2.44	123	546.0	15	105	3
OG0000025	A0A0C4DH72	A0A0A0MRZ8	53.96	12.95	139	429.0	46	75	18
OG0000025	P04433	A0A0A0MRZ8	96.58	0.0	117	586.0	4	113	0
OG0000025	A0A075B6P5	A0A0A0MRZ8	51.75	12.59	143	419.0	51	74	18
OG0000025	A0A0A0MT36	A0A0A0MRZ8	53.28	13.87	137	417.0	45	73	19
OG0000025	A0A0C4DH55	A0A0A0MRZ8	77.69	2.31	130	530.0	26	101	3
OG0000025	A0A087WSY6	A0A0A0MRZ8	82.93	4.07	123	536.0	16	102	5
OG0000025	A0A075B6S9	A0A0A0MRZ8	53.96	12.95	139	426.0	46	75	18
OG0000025	A0A0C4DH69	A0A0A0MRZ8	59.12	10.22	137	453.0	42	81	14
OG0000025	P04430	A0A0A0MRZ8	53.28	16.06	137	419.0	42	73	22
OG0000025	A0A0C4DH24	A0A0A0MRZ8	52.9	13.04	138	416.0	47	73	18
OG0000025	A0A075B6S4	A0A0A0MRZ8	50.7	12.68	142	420.0	52	72	18
OG0000025	A0A0C4DH68	A0A0A0MRZ8	49.66	12.41	145	410.0	55	72	18
OG0000025	A0A0C4DH25	A0A0A0MRZ8	83.2	1.6	125	538.0	19	104	2
OG0000025	A0A0G2JRQ6	A0A0A0MRZ8	56.62	13.97	136	441.0	40	77	19
OG0000025	P01619	A0A0A0MRZ8	83.2	1.6	125	538.0	19	104	2
OG0000025	A0A0B4J1Z2	A0A0A0MRZ8	51.77	12.77	141	421.0	50	73	18
OG0000025	P01601	A0A0A0MRZ8	53.62	14.49	138	419.0	44	74	20
OG0000025	P01602	A0A0A0MRZ8	58.96	14.18	134	449.0	36	79	19
OG0000025	P01615	A0A0A0MRZ8	51.75	12.59	143	419.0	51	74	18
